,temperature_2m,dewpoint_temperature_2m,skin_temperature,surface_net_thermal_radiation_sum
2025-02-22,285.81460126241046,275.3472423553467,286.56335576375324,-5172414
2025-02-23,285.1528676350911,273.5138473510742,286.4461218516032,-6859090
2025-02-24,283.9315636952718,276.08216222127277,284.6201769510905,-5744506
2025-02-25,284.1392351786296,274.9683895111084,285.8950004577637,-8077832
2025-02-26,286.0680472056071,276.0914427439372,287.7709426879883,-7515114
2025-02-27,286.99329630533856,278.1189721425374,288.80190722147626,-8571991
2025-02-28,287.4508692423503,277.89853922526044,289.21816062927246,-8681889
2025-03-01,287.834758122762,280.68134625752765,288.686341603597,-6313846
2025-03-02,288.9527988433838,280.99791463216144,290.4797528584798,-8590670
2025-03-03,289.0745137532552,282.3307704925537,290.69629605611163,-6960846
2025-03-04,288.48811022440594,281.29407501220703,289.63863372802734,-6976308
2025-03-05,288.78518931070965,282.93056615193683,289.8554496765137,-6441991
2025-03-06,288.785364151001,283.188086827596,290.3865439097087,-7541123
2025-03-07,289.73413530985516,282.6971912384033,291.0916118621826,-7384303
2025-03-08,290.048729578654,282.6206518809001,291.64858118693036,-8081433
2025-03-09,289.5929152170817,281.82528495788574,291.3087018330892,-7617678
2025-03-10,291.4488175710042,281.2650597890218,293.60871505737305,-8715132
2025-03-11,291.521489461263,280.95099449157715,293.4898045857747,-9783094
2025-03-12,292.0055459340413,284.24287668863934,293.80124219258624,-9041487
2025-03-13,294.5695610046387,282.96680068969727,297.01661173502606,-9420628
2025-03-14,295.1019090016683,281.58397102355957,297.40601476033527,-9965665
2025-03-15,294.5412851969401,282.23190752665204,296.26760482788086,-10285215
2025-03-16,295.72548802693683,284.39319801330566,297.63720258076984,-9849486
2025-03-17,296.59679412841797,284.80701065063477,298.9764684041341,-9372948
2025-03-18,293.0312836964925,285.15667724609375,295.19045130411786,-8896572
2025-03-19,290.914753595988,282.2640501658122,292.74865849812824,-6332464
2025-03-20,287.82601737976074,276.20041275024414,288.99034118652344,-4315174
2025-03-21,287.97573216756183,276.87302525838214,288.8696282704671,-4861680
2025-03-22,287.7421735127767,276.5278326670329,288.84010378519696,-6239252
2025-03-23,288.5537821451823,277.24072074890137,290.6732521057129,-9660690
2025-03-24,290.6264788309733,280.71276664733887,292.3637517293294,-9278610
2025-03-25,293.3913383483887,282.5913149515788,295.131202061971,-9147214
2025-03-26,295.0371545155843,283.98244349161786,296.9460849761963,-9151853
2025-03-27,297.81214968363446,283.35552914937335,300.4674987792969,-9785221
2025-03-28,294.40038744608563,283.61950810750324,296.38160705566406,-8457088
2025-03-29,291.6433442433675,281.50704765319824,294.7017141977946,-9828940
2025-03-30,293.1804116566976,276.901803334554,294.92878341674805,-9806376
2025-03-31,297.00698979695636,272.0369879404704,298.14160029093426,-10060108
2025-04-01,293.9577865600586,276.27367146809894,295.0121218363444,-7659928
2025-04-02,294.0629596710205,277.85680770874023,295.74694379170734,-10137544
2025-04-03,292.53087615966797,281.588654200236,295.50164159138996,-9947096
2025-04-04,291.19452412923175,282.5814030965169,293.6672166188558,-8710163
2025-04-05,293.14315668741864,281.4711456298828,296.2523390452067,-9858941
2025-04-06,293.80401611328125,283.0854148864746,296.0750675201416,-9237410
2025-04-07,293.7412478129069,282.51588503519696,295.9040749867757,-8349994
2025-04-08,295.7829825083415,284.387487411499,298.09423637390137,-8677982
2025-04-09,292.586872736613,285.0637950897217,295.0441411336263,-7827682
2025-04-10,289.8835080464681,279.37639872233075,292.1182155609131,-7818318
2025-04-11,289.5783526102702,279.3332284291585,290.94800758361816,-6419280
2025-04-12,290.40828132629395,279.97541999816895,293.04884084065753,-8596048
2025-04-13,289.574556350708,280.51807594299316,291.245454788208,-7110362
2025-04-14,290.8355598449707,280.1757005055745,293.34923998514813,-9504803
2025-04-15,291.41429964701337,281.86040751139325,294.3547026316325,-8333713
2025-04-16,292.00169881184894,280.3358103434245,294.2561206817627,-10086391
2025-04-17,293.67187118530273,281.2978223164876,295.78759511311847,-10233693
2025-04-18,294.3447602589925,282.5410563151042,296.4429740905762,-10117345
2025-04-19,294.37367566426593,281.7161102294922,296.95956802368164,-10699811
2025-04-20,294.1863956451416,284.96588706970215,297.4411093393962,-8934635
2025-04-21,297.92185910542804,282.9544448852539,300.5870189666748,-9282592
2025-04-22,301.99658902486163,281.8079884847005,304.7700023651123,-10639449
2025-04-23,297.3694381713867,284.7767340342204,299.3929856618245,-7411124
2025-04-24,293.7361234029134,286.56941986083984,295.9609883626302,-6948382
2025-04-25,293.2603874206543,284.5818405151367,295.919885635376,-8993110
2025-04-26,293.420846303304,283.6482073465983,296.39868418375653,-9106395
2025-04-27,293.99122937520343,284.1640790303548,297.3401737213135,-9726263
2025-04-28,293.7947998046875,284.2605616251628,297.32595380147296,-9626324
2025-04-29,294.4157072703044,284.5138079325358,297.3126913706462,-8177860
2025-04-30,293.8148307800293,284.9162432352702,296.3134943644206,-8386518
2025-05-01,292.96745045979816,283.06445566813153,295.6211395263672,-8615730
2025-05-02,292.837792078654,283.3775685628255,294.5605697631836,-7218901
2025-05-03,292.47630945841473,285.4294236501058,294.4556433359782,-6578461
2025-05-04,292.59793853759766,285.20287195841473,294.9100971221924,-7768452
2025-05-05,294.2701536814372,283.31537437438965,297.04191462198895,-9842784
2025-05-06,295.75442059834796,279.00114313761395,298.6178862253825,-10616738
2025-05-07,297.14194107055664,281.7096576690674,300.13058916727704,-10732398
2025-05-08,298.01467831929523,283.6018486022949,300.88660113016766,-10411708
2025-05-09,300.41603151957196,282.04872131347656,302.68950335184735,-10632854
2025-05-10,301.0820604960124,283.0682888031006,303.9861240386963,-10709544
2025-05-11,302.3754247029622,282.4231262207031,304.7768809000651,-9883279
2025-05-12,297.6750844319661,284.4280033111572,300.3512185414632,-9599903
2025-05-13,298.93449846903485,284.56315994262695,300.7708199818929,-8854666
2025-05-14,295.99154408772785,286.4693152109782,298.91991170247394,-9231029
2025-05-15,295.9111976623535,284.88868077596027,299.7759017944336,-9726749
2025-05-16,301.2505048116048,283.35105387369794,303.95008659362793,-9571946
2025-05-17,301.3758347829183,284.8492266337077,304.2248077392578,-9482146
2025-05-18,297.2678616841634,288.501033782959,300.1557051340739,-8439816
2025-05-19,295.7611796061198,284.13465118408203,298.4995695749919,-10286282
2025-05-20,295.2867972056071,283.44411277770996,297.7977485656738,-10281248
2025-05-21,296.1321029663086,286.00606536865234,298.8807436625163,-10068008
2025-05-22,296.87706247965497,286.2826671600342,300.0994002024333,-10431296
2025-05-23,298.57455825805664,284.9848829905192,301.3275006612142,-10596320
2025-05-24,300.1219228108724,283.47904713948566,303.22919336954754,-10786326
2025-05-25,302.46284612019855,282.0523490905762,306.0316333770752,-11422136
2025-05-26,300.3348395029704,285.5670738220215,303.015905380249,-9376774
2025-05-27,296.431884765625,285.95427322387695,299.3782145182292,-9478048
2025-05-28,296.63248952229816,284.2894910176595,299.477497736613,-10136011
2025-05-29,296.5744228363037,285.9021987915039,299.6130148569743,-9657475
2025-05-30,297.6145839691162,285.1908613840739,301.3893343607585,-9512584
2025-05-31,296.64544105529785,288.0113976796468,299.1684633890788,-7291736
2025-06-01,296.62621053059894,287.0160738627116,299.920207341512,-8399414
2025-06-02,296.14303906758624,287.08304023742676,299.2638581593831,-8666284
2025-06-03,296.77188237508136,287.1589953104655,299.56413141886395,-9286012
2025-06-04,298.1097215016683,287.32696469624835,301.1471176147461,-10159876
2025-06-05,298.90622965494794,287.42943954467773,302.0712471008301,-10663124
2025-06-06,298.9537989298503,287.8981583913167,302.44284439086914,-10809119
2025-06-07,299.1733455657959,289.9400043487549,302.60439618428546,-9940742
2025-06-08,299.2354170481364,289.47433217366535,302.40095074971515,-10205532
2025-06-09,299.65428797403973,290.4309418996175,303.05209732055664,-9854020
2025-06-10,300.11031341552734,290.2333234151204,303.5064131418864,-10038375
2025-06-11,300.1452166239421,290.2851848602295,303.72921498616535,-9893801
2025-06-12,300.29262987772626,291.97424125671387,304.0887959798177,-8746500
2025-06-13,300.84878476460773,289.9934622446696,304.06716283162433,-10327486
2025-06-14,300.24049186706543,289.57267634073895,303.3010031382243,-10553838
2025-06-15,299.10035069783527,289.25249735514325,301.9151204427083,-9923926
2025-06-16,298.7649154663086,290.02074241638184,301.7113889058431,-9486722
2025-06-17,299.4572041829427,290.7316360473633,302.9911365509033,-8940854
2025-06-18,300.15774790445965,288.53930854797363,303.85991287231445,-10376776
2025-06-19,299.6984570821126,289.149512608846,303.1134599049886,-10731568
2025-06-20,300.0801588694255,290.5135695139567,303.2939046223958,-10095584
